id_aeropuerto;nombre_aeropuerto;id_ciudad
AMM;QUEEN ALIA;457
ALC;ALICANTE;458
IPI;IPIALES - SAN LUIS;459
BHM;BIRMINGHAM INTL;460
HSV;HUNTSVILLE INTL CARL T JONES FLD;460
MOB;MOBILE REGIONAL AIRPORT ;460
SCO;AKTAU INTERNATIONAL AIRPORT;461
FDF;AÉROPORT INTERNATIONAL MARTINIQUE A;462
AGU;MARIA ANGELICA;463
AGH;AGUACHICA HACARITAMA;464
ADD;AEROPUERTO INTERNACIONAL BOLE;465
ACC;KOTAKA INT AIRPORT;466
ACA;GENERAL JUAN N ALVAREZ INTL;467
ACD;ACANDI;468
AUH;ABU DHABI;469
ABJ;ABIDJAN;470
ABZ;CYDE;471
